Common Name,Scientific Name
Easter Lily Cactus,Echinopsis Sp.
Gymnocalycium Saglionis,Gymnocalycium Saglionis
Parodia Magnifica,Parodia Magnifica
Old Man Of The Mountain,Oreocereus Trollii
Pilosocereus Sp.,Pilosocereus Sp.
Pinecone Cactus,Tephrocactus Articulatus
Ubelmannia Pectinifera,Ubelmannia Pectinifera
Zebra Aloe,Aloe Macrocarpa
Quiver Tree,Aloidendron Dichotomum
Tom Thumb,Crassula 'Tom Thumb'
Baseball Bat,Dracaena Hallii
Fockea Edulis,Fockea Edulis
Fairy Washboard,Haworthiopsis Limifolia
Goldenball Cactus,Parodia Leninghausii 
Wooly Lip Fern,Hemionitis Bradburyi
Pelargonium,Pelargonium Carnosum 
Blue Yucca,Yucca Baccata
Barometer Bush,Leucophyllum Frutescens
Opuntia Sp.,Opuntia Sp.
Lechuguilla,Agave Lechuguilla
Cholla,Cylindropuntia Sp.
Creosote Bush,Larrea Tridentata
Purple-Fruited Prickly Pear,Opuntia Phaecantha
Santa Rita Prickly Pear,Opuntia Santa-Rita 'Tubac'
Jojoba,Simmondsia Chinensis
Spanish Dagger,Yucca Faxoniana
Beaver Tail Cactus,Opuntia Basilaris
Baby Rita,Opuntia Basilaris Hyb. 'Baby Rita'
Cabbage Head Agave,Agave Parrasana
Desert Willow,Chilopsis Linearis
Candelilla,Euphorbia Antisyphilitica 
Crown Of Thorns,Euphorbia Milii
